Eval_AverageReturn,Eval_StdReturn,Eval_MaxReturn,Eval_MinReturn,Eval_AverageEpLen,step,Train_EpisodeReturn,Train_EpisodeLen,critic_loss,q_values,target_values,grad_norm,epsilon,lr
,,,,,17518,12.0,12,,,,,,
,,,,,17531,13.0,13,,,,,,
,,,,,17673,142.0,142,,,,,,
,,,,,17692,19.0,19,,,,,,
,,,,,17729,37.0,37,,,,,,
,,,,,17763,34.0,34,,,,,,
,,,,,17780,17.0,17,,,,,,
,,,,,17820,40.0,40,,,,,,
,,,,,17840,20.0,20,,,,,,
,,,,,17983,143.0,143,,,,,,
,,,,,18000,,,0.6774585247039795,14.245694160461426,14.201691627502441,6.361447811126709,0.45999999999999996,0.0005
,,,,,18039,56.0,56,,,,,,
,,,,,18177,138.0,138,,,,,,
,,,,,18190,13.0,13,,,,,,
,,,,,18229,39.0,39,,,,,,
,,,,,18243,14.0,14,,,,,,
,,,,,18265,22.0,22,,,,,,
,,,,,18277,12.0,12,,,,,,
,,,,,18307,30.0,30,,,,,,
,,,,,18326,19.0,19,,,,,,
,,,,,18351,25.0,25,,,,,,
,,,,,18383,32.0,32,,,,,,
,,,,,18433,50.0,50,,,,,,
,,,,,18500,67.0,67,,,,,,
,,,,,18519,19.0,19,,,,,,
,,,,,18544,25.0,25,,,,,,
,,,,,18553,9.0,9,,,,,,
,,,,,18589,36.0,36,,,,,,
,,,,,18657,68.0,68,,,,,,
,,,,,18676,19.0,19,,,,,,
,,,,,18710,34.0,34,,,,,,
,,,,,18730,20.0,20,,,,,,
,,,,,18752,22.0,22,,,,,,
,,,,,18774,22.0,22,,,,,,
,,,,,18786,12.0,12,,,,,,
,,,,,18913,127.0,127,,,,,,
,,,,,19000,,,0.5247371792793274,15.299697875976562,15.275548934936523,5.806860446929932,0.43000000000000005,0.0005
,,,,,19038,125.0,125,,,,,,
,,,,,19096,58.0,58,,,,,,
,,,,,19128,32.0,32,,,,,,
,,,,,19162,34.0,34,,,,,,
,,,,,19203,41.0,41,,,,,,
,,,,,19216,13.0,13,,,,,,
,,,,,19293,77.0,77,,,,,,
,,,,,19307,14.0,14,,,,,,
,,,,,19364,57.0,57,,,,,,
,,,,,19395,31.0,31,,,,,,
,,,,,19483,88.0,88,,,,,,
,,,,,19498,15.0,15,,,,,,
,,,,,19517,19.0,19,,,,,,
,,,,,19530,13.0,13,,,,,,
,,,,,19572,42.0,42,,,,,,
,,,,,19599,27.0,27,,,,,,
,,,,,19615,16.0,16,,,,,,
,,,,,19716,101.0,101,,,,,,
,,,,,19728,12.0,12,,,,,,
,,,,,19821,93.0,93,,,,,,
,,,,,19848,27.0,27,,,,,,
,,,,,19865,17.0,17,,,,,,
,,,,,19892,27.0,27,,,,,,
,,,,,19967,75.0,75,,,,,,
,,,,,19979,12.0,12,,,,,,
,,,,,19999,20.0,20,,,,,,
123.4,5.8685603,130.0,114.0,123.4,20000,,,0.03712330758571625,16.05789566040039,16.091171264648438,2.0821216106414795,0.4,0.0005
,,,,,20129,130.0,130,,,,,,
,,,,,20202,73.0,73,,,,,,
,,,,,20238,36.0,36,,,,,,
,,,,,20321,83.0,83,,,,,,
,,,,,20335,14.0,14,,,,,,
,,,,,20355,20.0,20,,,,,,
,,,,,20388,33.0,33,,,,,,
,,,,,20397,9.0,9,,,,,,
,,,,,20410,13.0,13,,,,,,
,,,,,20424,14.0,14,,,,,,
,,,,,20459,35.0,35,,,,,,
,,,,,20554,95.0,95,,,,,,
,,,,,20673,119.0,119,,,,,,
,,,,,20720,47.0,47,,,,,,
,,,,,20859,139.0,139,,,,,,
,,,,,20909,50.0,50,,,,,,
